#CHR	START	END	SAMPLE	cn_normal	u_normal	cn_clone1	u_clone1	cn_clone2	u_clone2	cn_clone3	u_clone3	cn_clone4	u_clone4
chr11	64000000	64250000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr11	64000000	64250000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr11	64250000	69000000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	64250000	69000000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	69500000	70500000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	69500000	70500000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	71000000	72000000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	71000000	72000000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	72250000	72750000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	72250000	72750000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	72750000	73000000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	2|0	0.20668	1|0	0.0688117
chr11	72750000	73000000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	2|0	0	1|0	0.297002
chr11	73000000	75000000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	73000000	75000000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	75250000	75500000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	75250000	75500000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	75750000	77750000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	75750000	77750000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	78250000	78500000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	78250000	78500000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	79500000	79750000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	79500000	79750000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	80500000	80750000	P6_DCIS	1|1	0.231405	1|0	0.388704	3|0	0.1044	4|1	0.20668	1|0	0.0688117
chr11	80500000	80750000	P6_INV	1|1	0.179193	1|0	0.463232	3|0	0.0605726	4|1	0	1|0	0.297002
chr11	82250000	82500000	P6_DCIS	1|1	0.231405	1|0	0.388704	3|0	0.1044	4|1	0.20668	1|0	0.0688117
chr11	82250000	82500000	P6_INV	1|1	0.179193	1|0	0.463232	3|0	0.0605726	4|1	0	1|0	0.297002
chr11	82500000	83250000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	82500000	83250000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	83500000	83750000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	83500000	83750000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	83750000	84000000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	2|0	0.20668	1|0	0.0688117
chr11	83750000	84000000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	2|0	0	1|0	0.297002
chr11	84250000	84500000	P6_DCIS	1|1	0.231405	1|0	0.388704	3|0	0.1044	4|1	0.20668	1|0	0.0688117
chr11	84250000	84500000	P6_INV	1|1	0.179193	1|0	0.463232	3|0	0.0605726	4|1	0	1|0	0.297002
chr11	84750000	85250000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	2|0	0.20668	1|0	0.0688117
chr11	84750000	85250000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	2|0	0	1|0	0.297002
chr11	85250000	86250000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	85250000	86250000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	86500000	87250000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	86500000	87250000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	87750000	88250000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	2|0	0.20668	1|0	0.0688117
chr11	87750000	88250000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	2|0	0	1|0	0.297002
chr11	88750000	89000000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	2|0	0.20668	1|0	0.0688117
chr11	88750000	89000000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	2|0	0	1|0	0.297002
chr11	89000000	90000000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	89000000	90000000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	90000000	90250000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	2|0	0.20668	1|0	0.0688117
chr11	90000000	90250000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	2|0	0	1|0	0.297002
chr11	91500000	91750000	P6_DCIS	1|1	0.231405	1|0	0.388704	1|1	0.1044	3|1	0.20668	1|0	0.0688117
chr11	91500000	91750000	P6_INV	1|1	0.179193	1|0	0.463232	1|1	0.0605726	3|1	0	1|0	0.297002
chr11	92250000	95000000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	92250000	95000000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	95500000	95750000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	95500000	95750000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	95750000	96000000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	2|0	0.20668	1|0	0.0688117
chr11	95750000	96000000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	2|0	0	1|0	0.297002
chr11	96000000	96250000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	96000000	96250000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	96250000	96500000	P6_DCIS	1|1	0.231405	1|0	0.388704	3|0	0.1044	4|1	0.20668	1|0	0.0688117
chr11	96250000	96500000	P6_INV	1|1	0.179193	1|0	0.463232	3|0	0.0605726	4|1	0	1|0	0.297002
chr11	98000000	98250000	P6_DCIS	1|1	0.231405	1|0	0.388704	3|0	0.1044	4|1	0.20668	1|0	0.0688117
chr11	98000000	98250000	P6_INV	1|1	0.179193	1|0	0.463232	3|0	0.0605726	4|1	0	1|0	0.297002
chr11	99250000	99500000	P6_DCIS	1|1	0.231405	1|0	0.388704	1|1	0.1044	3|1	0.20668	1|0	0.0688117
chr11	99250000	99500000	P6_INV	1|1	0.179193	1|0	0.463232	1|1	0.0605726	3|1	0	1|0	0.297002
chr11	99750000	100250000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	99750000	100250000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	100750000	101000000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	100750000	101000000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	101250000	101500000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	101250000	101500000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	101500000	101750000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	2|0	0.20668	1|0	0.0688117
chr11	101500000	101750000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	2|0	0	1|0	0.297002
chr11	101750000	102750000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	101750000	102750000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	103000000	103250000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	103000000	103250000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	103750000	104000000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	103750000	104000000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	104750000	105000000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	104750000	105000000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	105000000	105250000	P6_DCIS	1|1	0.231405	1|0	0.388704	1|1	0.1044	3|1	0.20668	1|0	0.0688117
chr11	105000000	105250000	P6_INV	1|1	0.179193	1|0	0.463232	1|1	0.0605726	3|1	0	1|0	0.297002
chr11	106000000	106250000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	2|0	0.20668	1|0	0.0688117
chr11	106000000	106250000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	2|0	0	1|0	0.297002
chr11	106500000	106750000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	106500000	106750000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	107500000	108750000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	107500000	108750000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	109500000	109750000	P6_DCIS	1|1	0.231405	1|0	0.388704	4|1	0.1044	5|1	0.20668	1|0	0.0688117
chr11	109500000	109750000	P6_INV	1|1	0.179193	1|0	0.463232	4|1	0.0605726	5|1	0	1|0	0.297002
chr11	109750000	110000000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	2|0	0.20668	1|0	0.0688117
chr11	109750000	110000000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	2|0	0	1|0	0.297002
chr11	110000000	110500000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	110000000	110500000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	111250000	111500000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	111250000	111500000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	111750000	112250000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	111750000	112250000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	113000000	114250000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	113000000	114250000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	116500000	116750000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	116500000	116750000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	117000000	118250000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	117000000	118250000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	118750000	119750000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	118750000	119750000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	119750000	120000000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	2|0	0.20668	1|0	0.0688117
chr11	119750000	120000000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	2|0	0	1|0	0.297002
chr11	120250000	120500000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	120250000	120500000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	120500000	120750000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|1	0.1044	3|0	0.20668	1|1	0.0688117
chr11	120500000	120750000	P6_INV	1|1	0.179193	1|0	0.463232	2|1	0.0605726	3|0	0	1|1	0.297002
chr11	120750000	121500000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	120750000	121500000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	121500000	122000000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	2|1	0.20668	1|1	0.0688117
chr11	121500000	122000000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	2|1	0	1|1	0.297002
chr11	122250000	122500000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	2|0	0.20668	1|0	0.0688117
chr11	122250000	122500000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	2|0	0	1|0	0.297002
chr11	122500000	123000000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	122500000	123000000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	123000000	123250000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|1	0.1044	3|0	0.20668	1|1	0.0688117
chr11	123000000	123250000	P6_INV	1|1	0.179193	1|0	0.463232	2|1	0.0605726	3|0	0	1|1	0.297002
chr11	123250000	125000000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	123250000	125000000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	125250000	126500000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	125250000	126500000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	127500000	127750000	P6_DCIS	1|1	0.231405	1|0	0.388704	3|0	0.1044	4|1	0.20668	1|0	0.0688117
chr11	127500000	127750000	P6_INV	1|1	0.179193	1|0	0.463232	3|0	0.0605726	4|1	0	1|0	0.297002
chr11	128250000	129000000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	128250000	129000000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	129250000	129500000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	2|0	0.20668	1|0	0.0688117
chr11	129250000	129500000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	2|0	0	1|0	0.297002
chr11	129500000	130500000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	129500000	130500000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	130500000	130750000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	2|0	0.20668	1|0	0.0688117
chr11	130500000	130750000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	2|0	0	1|0	0.297002
chr11	130750000	131000000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	130750000	131000000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr11	131000000	131250000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	2|0	0.20668	1|0	0.0688117
chr11	131000000	131250000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	2|0	0	1|0	0.297002
chr11	131500000	131750000	P6_DCIS	1|1	0.231405	1|0	0.388704	3|0	0.1044	4|1	0.20668	1|0	0.0688117
chr11	131500000	131750000	P6_INV	1|1	0.179193	1|0	0.463232	3|0	0.0605726	4|1	0	1|0	0.297002
chr11	132000000	132250000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	2|0	0.20668	1|0	0.0688117
chr11	132000000	132250000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	2|0	0	1|0	0.297002
chr11	133500000	134250000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr11	133500000	134250000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr12	250000	1500000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr12	250000	1500000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr12	1750000	2250000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr12	1750000	2250000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr12	2500000	5000000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr12	2500000	5000000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr12	5500000	9500000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr12	5500000	9500000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr12	9500000	9750000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr12	9500000	9750000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr12	9750000	10500000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr12	9750000	10500000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr12	10500000	10750000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr12	10500000	10750000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr12	10750000	11000000	P6_DCIS	1|1	0.231405	1|0	0.388704	1|0	0.1044	0|0	0.20668	0|0	0.0688117
chr12	10750000	11000000	P6_INV	1|1	0.179193	1|0	0.463232	1|0	0.0605726	0|0	0	0|0	0.297002
chr12	11250000	11500000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr12	11250000	11500000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr12	11500000	11750000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr12	11500000	11750000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr12	12000000	13250000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr12	12000000	13250000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr12	13500000	14000000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr12	13500000	14000000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr12	14500000	15750000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr12	14500000	15750000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr12	16500000	16750000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr12	16500000	16750000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr12	18500000	18750000	P6_DCIS	1|1	0.231405	1|0	0.388704	1|0	0.1044	0|0	0.20668	0|0	0.0688117
chr12	18500000	18750000	P6_INV	1|1	0.179193	1|0	0.463232	1|0	0.0605726	0|0	0	0|0	0.297002
chr12	18750000	19000000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr12	18750000	19000000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr12	19500000	19750000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr12	19500000	19750000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr12	20000000	20250000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	2|0	0.20668	1|0	0.0688117
chr12	20000000	20250000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	2|0	0	1|0	0.297002
chr12	20500000	21500000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr12	20500000	21500000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr12	21500000	21750000	P6_DCIS	1|1	0.231405	1|0	0.388704	1|0	0.1044	0|0	0.20668	0|0	0.0688117
chr12	21500000	21750000	P6_INV	1|1	0.179193	1|0	0.463232	1|0	0.0605726	0|0	0	0|0	0.297002
chr12	21750000	22250000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr12	21750000	22250000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr12	22250000	22500000	P6_DCIS	1|1	0.231405	1|0	0.388704	0|1	0.1044	1|0	0.20668	0|0	0.0688117
chr12	22250000	22500000	P6_INV	1|1	0.179193	1|0	0.463232	0|1	0.0605726	1|0	0	0|0	0.297002
chr12	22500000	22750000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr12	22500000	22750000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr12	22750000	23000000	P6_DCIS	1|1	0.231405	1|0	0.388704	1|0	0.1044	0|0	0.20668	0|0	0.0688117
chr12	22750000	23000000	P6_INV	1|1	0.179193	1|0	0.463232	1|0	0.0605726	0|0	0	0|0	0.297002
chr12	23500000	24000000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr12	23500000	24000000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr12	24500000	24750000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	2|0	0.20668	1|0	0.0688117
chr12	24500000	24750000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	2|0	0	1|0	0.297002
chr12	24750000	25750000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr12	24750000	25750000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr12	25750000	26000000	P6_DCIS	1|1	0.231405	1|1	0.388704	0|0	0.1044	1|1	0.20668	1|0	0.0688117
chr12	25750000	26000000	P6_INV	1|1	0.179193	1|1	0.463232	0|0	0.0605726	1|1	0	1|0	0.297002
chr12	26000000	26250000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr12	26000000	26250000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr12	26500000	28000000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr12	26500000	28000000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr12	28250000	28500000	P6_DCIS	1|1	0.231405	1|0	0.388704	0|1	0.1044	1|0	0.20668	0|0	0.0688117
chr12	28250000	28500000	P6_INV	1|1	0.179193	1|0	0.463232	0|1	0.0605726	1|0	0	0|0	0.297002
chr12	29250000	29750000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr12	29250000	29750000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr12	30250000	30500000	P6_DCIS	1|1	0.231405	1|0	0.388704	1|1	0.1044	3|1	0.20668	1|0	0.0688117
chr12	30250000	30500000	P6_INV	1|1	0.179193	1|0	0.463232	1|1	0.0605726	3|1	0	1|0	0.297002
chr12	30750000	32750000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr12	30750000	32750000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr12	33000000	33250000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr12	33000000	33250000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr12	33500000	33750000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	1|0	0.20668	1|0	0.0688117
chr12	33500000	33750000	P6_INV	1|1	0.179193	1|0	0.463232	2|0	0.0605726	1|0	0	1|0	0.297002
chr12	34000000	34250000	P6_DCIS	1|1	0.231405	1|0	0.388704	2|0	0.1044	2|0	0.20668	1|0	0.0688117
